epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.73,1.01357,1.93853,1.27528,1.36745,0.56311,0.33405,0.30429,0.15545,0.55523,0.33261,0.30769,0.16807,1.59305,2.30478,1.66096,1.98882,0.000665714,0.000665714,0.000665714
2,669.946,1.1627,2.15294,1.23823,1.46516,0.70938,0.35246,0.37592,0.22748,0.69348,0.34456,0.36882,0.22433,1.37572,2.15286,1.32276,1.81006,0.0012994,0.0012994,0.0012994
3,983.424,1.129,2.09626,1.19258,1.4336,0.72934,0.4023,0.408,0.26819,0.7114,0.41164,0.41585,0.29117,1.14421,1.59129,1.12087,1.55934,0.00190009,0.00190009,0.00190009
4,1292.21,1.04371,1.93534,1.10704,1.38153,0.78737,0.41667,0.44547,0.3137,0.77922,0.41236,0.44284,0.32805,1.02981,1.54362,0.98423,1.46346,0.0018515,0.0018515,0.0018515
5,1592.3,0.98581,1.80266,1.02085,1.33678,0.77622,0.4286,0.46276,0.3377,0.77101,0.42572,0.4608,0.32939,0.94323,1.49661,0.87175,1.36377,0.001802,0.001802,0.001802
6,1877.76,0.93795,1.70016,0.95812,1.30515,0.80235,0.4375,0.47208,0.35192,0.8073,0.43534,0.47112,0.34956,0.8957,1.54393,0.87606,1.33377,0.0017525,0.0017525,0.0017525
7,2155.9,0.89487,1.62089,0.91947,1.27147,0.82604,0.44347,0.48218,0.37439,0.82526,0.44397,0.48228,0.37501,0.80756,1.26517,0.76763,1.22448,0.001703,0.001703,0.001703
8,2433.13,0.85537,1.53265,0.8801,1.25303,0.82563,0.45241,0.48985,0.36944,0.81877,0.45187,0.48793,0.3703,0.85718,1.32452,0.76128,1.28181,0.0016535,0.0016535,0.0016535
9,2717.16,0.84357,1.50082,0.86289,1.24617,0.8706,0.44828,0.49299,0.3782,0.87535,0.45115,0.50098,0.38716,0.81022,1.15162,0.74364,1.23624,0.001604,0.001604,0.001604
10,3015.96,0.82032,1.41901,0.82774,1.22876,0.88107,0.45115,0.50045,0.39184,0.87028,0.45786,0.50708,0.39464,0.75811,1.17369,0.68792,1.18757,0.0015545,0.0015545,0.0015545
11,3324.27,0.80693,1.4138,0.83108,1.2181,0.85904,0.45977,0.49524,0.39064,0.84742,0.46284,0.49392,0.38846,0.74029,1.12952,0.68932,1.18213,0.001505,0.001505,0.001505
